client_id;nom_client;type_client;ville;code_postal;agence_rattachement;canal_acquisition;date_creation;profil_paiement
CLI-0051;Marc Da Silva;Particulier;Toulouse;31000;Toulouse;Site web;2018-02-14;Bon payeur
CLI-0022;Rachida Faure;Particulier;Libourne;33500;Bordeaux;Bouche-à-oreille;2018-03-13;Standard
CLI-0025;Clinique du Parc 47;Syndic;Pessac;33600;Bordeaux;Google Ads;2018-03-14;Standard
CLI-0098;Fanny Marchal;Particulier;Mérignac;33700;Bordeaux;Bouche-à-oreille;2018-04-08;Bon payeur
CLI-0062;Joëlle Dupuis;Particulier;Tournefeuille;31170;Toulouse;Bouche-à-oreille;2018-04-28;Bon payeur
CLI-0092;Valérie Rey;Particulier;Tournefeuille;31170;Toulouse;Bouche-à-oreille;2018-05-03;Standard
CLI-0045;EHPAD Les Glycines 84;Syndic;Bègles;33130;Bordeaux;Site web;2018-05-09;Lent
CLI-0097;Damien Masson;Particulier;Muret;31600;Toulouse;Prospection;2018-05-15;Standard
CLI-0114;Hélène Moreau;Particulier;Talence;33400;Bordeaux;Google Ads;2018-06-02;Bon payeur
CLI-0008;Nathalie Aubert;Particulier;Blagnac;31700;Toulouse;Bouche-à-oreille;2018-06-03;Bon payeur
CLI-0125;Inès Gaillard;Particulier;Tournefeuille;31170;Toulouse;Bouche-à-oreille;2018-06-10;Lent
CLI-0117;Rachida Rey;Particulier;Tournefeuille;31170;Toulouse;Site web;2018-06-25;Standard
CLI-0017;Foncia Occitanie 2;Professionnel;Toulouse;31000;Toulouse;Google Ads;2018-07-13;Standard
CLI-0145;EHPAD Les Glycines 66;Collectivité;Mérignac;33700;Bordeaux;Prospection;2018-07-20;Bon payeur
CLI-0013;Cabinet dentaire Ansel 33;Professionnel;Colomiers;31770;Toulouse;Bouche-à-oreille;2018-08-07;Standard
CLI-0156;Delphine Guerin;Particulier;Libourne;33500;Bordeaux;Bouche-à-oreille;2018-08-11;Bon payeur
CLI-0014;Olivier Barbier;Particulier;Mérignac;33700;Bordeaux;Bouche-à-oreille;2018-08-20;Bon payeur
CLI-0140;Restaurant Le Bistrot 86;Syndic;Blagnac;31700;Toulouse;Bouche-à-oreille;2018-08-20;Standard
CLI-0112;Gaëlle Vidal;Particulier;Bègles;33130;Bordeaux;Site web;2018-09-03;Standard
CLI-0042;Joëlle Bonnet;Particulier;Mérignac;33700;Bordeaux;Bouche-à-oreille;2018-09-14;Standard
CLI-0059;Ibrahim Perrin;Particulier;Mérignac;33700;Bordeaux;Annuaire pro;2018-09-20;Bon payeur
CLI-0185;Serge Dubois;Particulier;Pessac;33600;Bordeaux;Partenaire;2018-10-11;Bon payeur
CLI-0003;Office HLM Aquitaine 66;Professionnel;Muret;31600;Toulouse;Annuaire pro;2018-10-21;Standard
CLI-0148;Adrien Masson;Particulier;Talence;33400;Bordeaux;Annuaire pro;2018-10-30;Standard
CLI-0110;Camille Guerin;Particulier;Muret;31600;Toulouse;Prospection;2018-11-12;Bon payeur
CLI-0060;Kevin Millet;Particulier;Muret;31600;Toulouse;Partenaire;2018-11-15;Standard
CLI-0179;Auto-école Conduite Plus 75;Professionnel;Libourne;33500;Bordeaux;Bouche-à-oreille;2018-11-20;Standard
CLI-0135;Cabinet dentaire Ansel 39;Professionnel;Bordeaux;33000;Bordeaux;Site web;2018-11-21;Litigieux
CLI-0079;Gaëlle Léger;Particulier;Mérignac;33700;Bordeaux;Bouche-à-oreille;2018-11-28;Standard
CLI-0142;Ulysse Girard;Particulier;Bordeaux;33000;Bordeaux;Prospection;2018-12-05;Standard
CLI-0086;Gérard Guerin;Particulier;Blagnac;31700;Toulouse;Bouche-à-oreille;2018-12-11;Bon payeur
CLI-0168;Alain Da Silva;Particulier;Talence;33400;Bordeaux;Bouche-à-oreille;2019-01-04;Lent
CLI-0129;Hôtel Le Cardinal 47;Professionnel;Blagnac;31700;Toulouse;Site web;2019-01-25;Bon payeur
CLI-0131;Nathalie Girard;Particulier;Balma;31130;Toulouse;Google Ads;2019-01-27;Bon payeur
CLI-0006;Quentin Dubois;Particulier;Pessac;33600;Bordeaux;Google Ads;2019-02-07;Standard
CLI-0074;Hélène Aubert;Particulier;Mérignac;33700;Bordeaux;Site web;2019-02-15;Standard
CLI-0030;Hélène Renard;Particulier;Muret;31600;Toulouse;Annuaire pro;2019-02-26;Lent
CLI-0118;Ulysse Renard;Particulier;Toulouse;31000;Toulouse;Partenaire;2019-02-28;Bon payeur
CLI-0127;Yasmine Robin;Particulier;Balma;31130;Toulouse;Partenaire;2019-02-28;Standard
CLI-0073;SARL Toitures Sud 5;Professionnel;Balma;31130;Toulouse;Annuaire pro;2019-03-24;Lent
CLI-0158;Laure Lemoine;Particulier;Talence;33400;Bordeaux;Bouche-à-oreille;2019-03-24;Bon payeur
CLI-0019;Tiphaine Dubois;Particulier;Libourne;33500;Bordeaux;Annuaire pro;2019-03-26;Bon payeur
CLI-0033;Cabinet Vergne Immobilier 96;Syndic;Talence;33400;Bordeaux;Site web;2019-04-03;Litigieux
CLI-0189;EHPAD Les Glycines 98;Professionnel;Mérignac;33700;Bordeaux;Bouche-à-oreille;2019-04-15;Lent
CLI-0176;Cabinet Vergne Immobilier 41;Professionnel;Blagnac;31700;Toulouse;Partenaire;2019-05-12;Bon payeur
CLI-0119;Serge Lemoine;Particulier;Mérignac;33700;Bordeaux;Bouche-à-oreille;2019-05-20;Bon payeur
CLI-0106;Camille Roussel;Particulier;Balma;31130;Toulouse;Bouche-à-oreille;2019-05-23;Bon payeur
CLI-0052;Camille Noel;Particulier;Toulouse;31000;Toulouse;Bouche-à-oreille;2019-05-25;Standard
CLI-0041;Damien Dupuis;Particulier;Muret;31600;Toulouse;Annuaire pro;2019-06-08;Standard
CLI-0065;Hélène Blanc;Particulier;Mérignac;33700;Bordeaux;Bouche-à-oreille;2019-06-17;Litigieux
CLI-0036;Camille Masson;Particulier;Tournefeuille;31170;Toulouse;Site web;2019-06-21;Standard
CLI-0174;Office HLM Aquitaine 38;Professionnel;Bordeaux;33000;Bordeaux;Google Ads;2019-06-22;Bon payeur
CLI-0061;SCI Les Tilleuls 88;Professionnel;Balma;31130;Toulouse;Bouche-à-oreille;2019-06-29;Standard
CLI-0144;Marc Faure;Particulier;Toulouse;31000;Toulouse;Annuaire pro;2019-07-03;Standard
CLI-0188;Olivier Dupuis;Particulier;Talence;33400;Bordeaux;Bouche-à-oreille;2019-07-04;Standard
CLI-0169;Clinique du Parc 60;Professionnel;Pessac;33600;Bordeaux;Partenaire;2019-07-05;Lent
CLI-0141;Rachida Rey;Particulier;Pessac;33600;Bordeaux;Google Ads;2019-07-11;Bon payeur
CLI-0009;Yasmine Charpentier;Particulier;Balma;31130;Toulouse;Bouche-à-oreille;2019-07-17;Standard
CLI-0047;Fanny Léger;Particulier;Talence;33400;Bordeaux;Google Ads;2019-07-26;Standard
CLI-0157;Ulysse Masson;Particulier;Bordeaux;33000;Bordeaux;Bouche-à-oreille;2019-07-27;Lent
CLI-0050;Tiphaine Perrin;Particulier;Colomiers;31770;Toulouse;Annuaire pro;2019-07-29;Standard
CLI-0089;Ulysse Masson;Particulier;Bègles;33130;Bordeaux;Site web;2019-09-10;Bon payeur
CLI-0149;Serge Marchal;Particulier;Colomiers;31770;Toulouse;Bouche-à-oreille;2019-09-14;Bon payeur
CLI-0111;Rachida Marchal;Particulier;Talence;33400;Bordeaux;Site web;2019-10-01;Bon payeur
CLI-0032;Franck Nguyen;Particulier;Balma;31130;Toulouse;Bouche-à-oreille;2019-10-02;Standard
CLI-0057;Pharmacie Centrale 74;Syndic;Colomiers;31770;Toulouse;Site web;2019-10-18;Bon payeur
CLI-0056;Marc Masson;Particulier;Talence;33400;Bordeaux;Bouche-à-oreille;2019-11-01;Standard
CLI-0064;Lycée Saint-Exupéry 67;Professionnel;Toulouse;31000;Toulouse;Bouche-à-oreille;2019-11-06;Standard
CLI-0175;Franck Léger;Particulier;Muret;31600;Toulouse;Bouche-à-oreille;2019-11-06;Bon payeur
CLI-0040;Restaurant Le Bistrot 94;Professionnel;Mérignac;33700;Bordeaux;Annuaire pro;2019-11-28;Standard
CLI-0096;Serge Noel;Particulier;Pessac;33600;Bordeaux;Bouche-à-oreille;2019-12-05;Standard
CLI-0048;Ibrahim Dubois;Particulier;Muret;31600;Toulouse;Site web;2019-12-06;Standard
CLI-0070;Kevin Aubert;Particulier;Tournefeuille;31170;Toulouse;Annuaire pro;2019-12-14;Bon payeur
CLI-0095;Camille Colin;Particulier;Libourne;33500;Bordeaux;Bouche-à-oreille;2019-12-18;Standard
CLI-0020;Inès Bonnet;Particulier;Pessac;33600;Bordeaux;Bouche-à-oreille;2020-01-04;Standard
CLI-0181;Résidence Belvédère 15;Professionnel;Balma;31130;Toulouse;Annuaire pro;2020-02-01;Bon payeur
CLI-0104;Kevin Vidal;Particulier;Blagnac;31700;Toulouse;Site web;2020-02-09;Bon payeur
CLI-0015;Quentin Blanc;Particulier;Libourne;33500;Bordeaux;Site web;2020-02-27;Bon payeur
CLI-0121;Camping Les Pins 76;Syndic;Balma;31130;Toulouse;Annuaire pro;2020-03-04;Bon payeur
CLI-0177;Béatrice Faure;Particulier;Toulouse;31000;Toulouse;Bouche-à-oreille;2020-03-07;Standard
CLI-0120;Gaëlle Bonnet;Particulier;Balma;31130;Toulouse;Annuaire pro;2020-03-14;Lent
CLI-0053;Adrien Da Silva;Particulier;Pessac;33600;Bordeaux;Annuaire pro;2020-03-18;Lent
CLI-0027;Kevin Chevalier;Particulier;Toulouse;31000;Toulouse;Prospection;2020-03-25;Bon payeur
CLI-0124;Rachida Dupuis;Particulier;Balma;31130;Toulouse;Site web;2020-03-31;Lent
CLI-0001;Cabinet dentaire Ansel 9;Professionnel;Bordeaux;33000;Bordeaux;Partenaire;2020-04-03;Lent
CLI-0075;Groupe scolaire Jean-Jaurès 67;Syndic;Blagnac;31700;Toulouse;Annuaire pro;2020-05-09;Litigieux
CLI-0152;Rachida Vidal;Particulier;Bordeaux;33000;Bordeaux;Annuaire pro;2020-05-15;Standard
CLI-0039;Alain Brun;Particulier;Mérignac;33700;Bordeaux;Google Ads;2020-05-20;Standard
CLI-0055;Boulangerie Marchetti 84;Professionnel;Bordeaux;33000;Bordeaux;Site web;2020-06-09;Standard
CLI-0182;Supérette Vival 49;Professionnel;Bordeaux;33000;Bordeaux;Partenaire;2020-06-12;Bon payeur
CLI-0091;Rachida Blanc;Particulier;Pessac;33600;Bordeaux;Annuaire pro;2020-06-30;Bon payeur
CLI-0102;Ibrahim Poirier;Particulier;Tournefeuille;31170;Toulouse;Bouche-à-oreille;2020-07-04;Bon payeur
CLI-0139;Ibrahim Lemoine;Particulier;Libourne;33500;Bordeaux;Bouche-à-oreille;2020-07-30;Bon payeur
CLI-0151;Groupe scolaire Jean-Jaurès 30;Syndic;Talence;33400;Bordeaux;Partenaire;2020-08-07;Standard
CLI-0076;Pauline Gaillard;Particulier;Muret;31600;Toulouse;Prospection;2020-08-13;Bon payeur
CLI-0146;William Renard;Particulier;Mérignac;33700;Bordeaux;Bouche-à-oreille;2020-08-20;Standard
CLI-0007;Fanny Charpentier;Particulier;Colomiers;31770;Toulouse;Bouche-à-oreille;2020-09-04;Standard
CLI-0043;Valérie Dupuis;Particulier;Tournefeuille;31170;Toulouse;Site web;2020-09-04;Bon payeur
CLI-0078;CCAS de Muret 8;Collectivité;Colomiers;31770;Toulouse;Site web;2020-09-08;Lent
CLI-0109;Foncia Occitanie 47;Professionnel;Muret;31600;Toulouse;Google Ads;2020-09-11;Standard
CLI-0046;Cabinet Vergne Immobilier 16;Syndic;Balma;31130;Toulouse;Partenaire;2020-09-19;Bon payeur
CLI-0138;Béatrice Barbier;Particulier;Blagnac;31700;Toulouse;Annuaire pro;2020-10-04;Standard
