intervention_id;devis_id;date_intervention;mois;exercice;technicien_id;technicien;agence;categorie;heures_devisees;heures_reelles;cout_horaire;cout_main_oeuvre;cout_materiel;statut_intervention
INT-00001;DEV-00006;2022-08-08;2022-08;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;2.3;2.3;32.0;73.6;162.33;Terminée
INT-00002;DEV-00008;2022-08-19;2022-08;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;26.1;24.4;32.0;780.8;3047.1;Terminée
INT-00003;DEV-00010;2022-08-15;2022-08;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;5.6;5.5;31.0;170.5;572.07;Terminée
INT-00004;DEV-00014;2022-08-03;2022-08;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Dépannage;1.1;1.2;32.0;38.4;68.96;Terminée
INT-00005;DEV-00015;2022-08-19;2022-08;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Dépannage;2.2;2.2;35.0;77.0;105.98;Terminée
INT-00006;DEV-00026;2022-08-18;2022-08;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Plomberie;14.6;14.9;32.0;476.8;1946.12;Terminée
INT-00007;DEV-00028;2022-08-16;2022-08;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Dépannage;1.4;1.4;31.0;43.4;97.8;Terminée
INT-00008;DEV-00031;2022-09-05;2022-09;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;48.6;46.1;31.0;1429.1;5210.63;Terminée
INT-00009;DEV-00034;2022-08-15;2022-08;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;11.2;9.4;35.0;329.0;3898.16;Terminée
INT-00010;DEV-00036;2022-09-27;2022-09;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Salle de bain;18.0;18.9;30.0;567.0;1887.96;Terminée
INT-00011;DEV-00037;2022-09-12;2022-09;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;2.3;2.3;30.0;69.0;151.65;Terminée
INT-00012;DEV-00038;2022-08-29;2022-08;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Électricité;5.3;5.5;33.0;181.5;563.59;Terminée
INT-00013;DEV-00043;2022-10-03;2022-10;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;9.5;9.5;30.0;285.0;1054.81;Terminée
INT-00014;DEV-00047;2022-09-14;2022-09;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Électricité;22.9;25.5;33.0;841.5;2189.65;Terminée
INT-00015;DEV-00048;2022-08-24;2022-08;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Dépannage;1.6;1.3;35.0;45.5;81.13;Terminée
INT-00016;DEV-00052;2022-09-26;2022-09;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Dépannage;0.9;0.8;35.0;28.0;77.01;Terminée
INT-00017;DEV-00054;2022-09-13;2022-09;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;41.3;39.9;31.0;1236.9;9194.64;Terminée
INT-00018;DEV-00055;2022-10-05;2022-10;2022-2023;TEC-01;Marc Delaunay;Bordeaux;Dépannage;1.1;1.0;32.0;32.0;58.62;Terminée
INT-00019;DEV-00058;2022-09-23;2022-09;2022-2023;TEC-08;Elodie Ravel;Toulouse;Électricité;7.9;10.1;32.0;323.2;1447.72;Terminée
INT-00020;DEV-00059;2022-09-02;2022-09;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Dépannage;1.1;1.3;30.0;39.0;64.77;Terminée
INT-00021;DEV-00060;2022-09-19;2022-09;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Dépannage;3.3;3.6;31.0;111.6;184.56;Terminée
INT-00022;DEV-00061;2022-10-03;2022-10;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Dépannage;3.0;3.1;30.0;93.0;200.51;Terminée
INT-00023;DEV-00062;2022-09-26;2022-09;2022-2023;TEC-08;Elodie Ravel;Toulouse;Électricité;5.7;6.7;32.0;214.4;1728.48;Terminée
INT-00024;DEV-00064;2022-09-12;2022-09;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Plomberie;15.2;16.3;30.0;489.0;3010.48;Terminée
INT-00025;DEV-00073;2022-10-05;2022-10;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Chauffage;3.9;3.2;36.0;115.2;298.33;Terminée
INT-00026;DEV-00077;2022-09-29;2022-09;2022-2023;TEC-08;Elodie Ravel;Toulouse;Dépannage;1.5;1.7;32.0;54.4;153.89;Terminée
INT-00027;DEV-00079;2022-10-24;2022-10;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Électricité;6.9;6.9;33.0;227.7;642.23;Terminée
INT-00028;DEV-00080;2022-10-25;2022-10;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;29.5;26.5;35.0;927.5;7058.71;Terminée
INT-00029;DEV-00081;2022-10-03;2022-10;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;12.3;11.9;35.0;416.5;2657.73;Terminée
INT-00030;DEV-00084;2022-10-31;2022-10;2022-2023;TEC-08;Elodie Ravel;Toulouse;Électricité;4.8;5.6;32.0;179.2;610.15;Terminée
INT-00031;DEV-00085;2022-10-14;2022-10;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Salle de bain;16.7;19.2;30.0;576.0;1416.87;Terminée
INT-00032;DEV-00086;2022-11-02;2022-11;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Chauffage;3.8;3.3;36.0;118.8;237.54;Terminée
INT-00033;DEV-00092;2022-10-17;2022-10;2022-2023;TEC-07;Yannick Dubreuil;Toulouse;Salle de bain;46.1;53.0;30.0;1590.0;5234.64;Terminée
INT-00034;DEV-00093;2022-11-10;2022-11;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Dépannage;1.0;1.0;33.0;33.0;64.0;Terminée
INT-00035;DEV-00095;2022-11-24;2022-11;2022-2023;TEC-05;Sonia Mercier;Bordeaux;Salle de bain;5.4;5.1;31.0;158.1;1068.62;Terminée
INT-00036;DEV-00097;2022-10-26;2022-10;2022-2023;TEC-08;Elodie Ravel;Toulouse;Salle de bain;42.4;53.6;32.0;1715.2;5596.39;Terminée
INT-00037;DEV-00100;2022-10-05;2022-10;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Chauffage;27.9;24.2;36.0;871.2;12234.29;Terminée
INT-00038;DEV-00103;2022-10-31;2022-10;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Dépannage;1.0;1.0;35.0;35.0;165.14;Terminée
INT-00039;DEV-00104;2022-10-18;2022-10;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;13.8;13.0;35.0;455.0;2139.92;Terminée
INT-00040;DEV-00106;2022-11-10;2022-11;2022-2023;TEC-02;Ahmed Zahiri;Bordeaux;Chauffage;12.8;12.2;35.0;427.0;2218.88;Terminée
INT-00041;DEV-00107;2022-11-14;2022-11;2022-2023;TEC-06;Pierre Vasseur;Toulouse;Chauffage;3.2;3.2;36.0;115.2;261.34;Terminée
INT-00042;DEV-00109;2022-10-12;2022-10;2022-2023;TEC-03;Fabien Ortiz;Bordeaux;Électricité;5.4;5.4;33.0;178.2;778.08;Terminée
INT-00043;DEV-00114;2022-10-24;2022-10;2022-2023;TEC-08;Elodie Ravel;Toulouse;Dépannage;1.4;1.7;32.0;54.4;180.17;Terminée
