relance_id;devis_id;date_relance;mois;exercice;rang;canal;agence;commercial;issue;duree_min
REL-00001;DEV-00001;2022-07-05;2022-07;2022-2023;1;Email;Toulouse;Julien Fabre;Rappel demandé;4.3
REL-00002;DEV-00001;2022-07-14;2022-07;2022-2023;2;Téléphone;Toulouse;Julien Fabre;Injoignable;10.9
REL-00003;DEV-00002;2022-07-02;2022-07;2022-2023;1;Email;Bordeaux;Sophie Marchand;Refus signifié;1.4
REL-00004;DEV-00004;2022-07-14;2022-07;2022-2023;1;Email;Toulouse;Julien Fabre;Sans réponse;1.5
REL-00005;DEV-00004;2022-07-25;2022-07;2022-2023;2;SMS;Toulouse;Julien Fabre;Refus signifié;1.7
REL-00006;DEV-00006;2022-07-06;2022-07;2022-2023;1;SMS;Bordeaux;Sophie Marchand;Sans réponse;4.0
REL-00007;DEV-00006;2022-07-15;2022-07;2022-2023;2;Email;Bordeaux;Sophie Marchand;Accord obtenu;2.2
REL-00008;DEV-00007;2022-07-07;2022-07;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Refus signifié;7.8
REL-00009;DEV-00008;2022-07-09;2022-07;2022-2023;1;Email;Bordeaux;Karim Belkacem;Accord obtenu;4.4
REL-00010;DEV-00009;2022-07-14;2022-07;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Sans réponse;8.6
REL-00011;DEV-00009;2022-07-19;2022-07;2022-2023;2;Téléphone;Toulouse;Julien Fabre;Refus signifié;4.2
REL-00012;DEV-00010;2022-07-09;2022-07;2022-2023;1;Email;Bordeaux;Karim Belkacem;Sans réponse;4.4
REL-00013;DEV-00010;2022-07-23;2022-07;2022-2023;2;Email;Bordeaux;Karim Belkacem;Négociation en cours;4.7
REL-00014;DEV-00010;2022-08-03;2022-08;2022-2023;3;Email;Bordeaux;Karim Belkacem;Accord obtenu;3.1
REL-00015;DEV-00013;2022-07-12;2022-07;2022-2023;1;Email;Toulouse;Julien Fabre;Refus signifié;2.6
REL-00016;DEV-00014;2022-07-13;2022-07;2022-2023;1;Téléphone;Bordeaux;Karim Belkacem;Accord obtenu;13.7
REL-00017;DEV-00015;2022-07-15;2022-07;2022-2023;1;Email;Bordeaux;Sophie Marchand;Négociation en cours;2.9
REL-00018;DEV-00016;2022-07-18;2022-07;2022-2023;1;Email;Bordeaux;Karim Belkacem;Injoignable;4.5
REL-00019;DEV-00017;2022-07-22;2022-07;2022-2023;1;Email;Toulouse;Julien Fabre;Injoignable;4.6
REL-00020;DEV-00018;2022-07-20;2022-07;2022-2023;1;Email;Bordeaux;Karim Belkacem;Sans réponse;2.0
REL-00021;DEV-00018;2022-08-01;2022-08;2022-2023;2;Email;Bordeaux;Karim Belkacem;Refus signifié;1.3
REL-00022;DEV-00020;2022-07-23;2022-07;2022-2023;1;Téléphone;Bordeaux;Sophie Marchand;Rappel demandé;10.9
REL-00023;DEV-00020;2022-07-28;2022-07;2022-2023;2;Téléphone;Bordeaux;Sophie Marchand;Refus signifié;8.9
REL-00024;DEV-00022;2022-07-19;2022-07;2022-2023;1;SMS;Bordeaux;Karim Belkacem;Injoignable;3.0
REL-00025;DEV-00022;2022-07-27;2022-07;2022-2023;2;SMS;Bordeaux;Karim Belkacem;Rappel demandé;1.8
REL-00026;DEV-00023;2022-07-21;2022-07;2022-2023;1;Email;Toulouse;Julien Fabre;Négociation en cours;3.0
REL-00027;DEV-00023;2022-08-04;2022-08;2022-2023;2;SMS;Toulouse;Julien Fabre;Négociation en cours;2.7
REL-00028;DEV-00023;2022-08-11;2022-08;2022-2023;3;Email;Toulouse;Julien Fabre;Sans réponse;3.8
REL-00029;DEV-00024;2022-08-01;2022-08;2022-2023;1;Email;Bordeaux;Sophie Marchand;Injoignable;3.2
REL-00030;DEV-00026;2022-07-22;2022-07;2022-2023;1;Email;Bordeaux;Karim Belkacem;Accord obtenu;2.0
REL-00031;DEV-00027;2022-07-27;2022-07;2022-2023;1;Téléphone;Toulouse;Julien Fabre;Rappel demandé;11.9
REL-00032;DEV-00027;2022-08-04;2022-08;2022-2023;2;Email;Toulouse;Julien Fabre;Sans réponse;2.7
